transaction_narration,label
Zomato order payment Ref000000 Amt48698 INR,food
Credit card EMI payment Ref000001 Amt14728 INR,emi
Uber ride payment Ref000002 Amt44448 INR,travel
Amazon online shopping Ref000003 Amt38798 INR,shopping
Mutual fund SIP investment Ref000004 Amt2052 INR,investment
Swiggy food delivery Ref000005 Amt15347 INR,food
Supermarket shopping bill Ref000006 Amt1839 INR,shopping
Flipkart purchase Ref000007 Amt47025 INR,shopping
Electronics store payment Ref000008 Amt14546 INR,shopping
PPF account contribution Ref000009 Amt18331 INR,investment
Swiggy food delivery Ref000010 Amt45853 INR,food
Demat account funding Ref000011 Amt18310 INR,investment
Ola cab booking Ref000012 Amt22159 INR,travel
Zomato order payment Ref000013 Amt24998 INR,food
Restaurant bill payment Ref000014 Amt22641 INR,food
Clothing store purchase Ref000015 Amt2947 INR,shopping
PPF account contribution Ref000016 Amt8280 INR,investment
Mutual fund SIP investment Ref000017 Amt36278 INR,investment
Personal loan EMI Ref000018 Amt23800 INR,emi
Flipkart purchase Ref000019 Amt46274 INR,shopping
Zomato order payment Ref000020 Amt43436 INR,food
Train ticket booking IRCTC Ref000021 Amt5329 INR,travel
Uber ride payment Ref000022 Amt25011 INR,travel
Bike loan installment Ref000023 Amt41760 INR,emi
Credit card EMI payment Ref000024 Amt24360 INR,emi
Credit card EMI payment Ref000025 Amt44020 INR,emi
Loan EMI auto debit Ref000026 Amt40020 INR,emi
Hotel stay payment Ref000027 Amt47884 INR,travel
Ola cab booking Ref000028 Amt30394 INR,travel
Demat account funding Ref000029 Amt42043 INR,investment
Flipkart purchase Ref000030 Amt44966 INR,shopping
Loan EMI auto debit Ref000031 Amt15110 INR,emi
Restaurant bill payment Ref000032 Amt26390 INR,food
Loan EMI auto debit Ref000033 Amt13926 INR,emi
Clothing store purchase Ref000034 Amt14034 INR,shopping
Crypto investment transfer Ref000035 Amt42229 INR,investment
Stock market purchase Ref000036 Amt17459 INR,investment
Ola cab booking Ref000037 Amt48923 INR,travel
Supermarket shopping bill Ref000038 Amt17319 INR,shopping
Electronics store payment Ref000039 Amt38342 INR,shopping
Demat account funding Ref000040 Amt14473 INR,investment
Hotel stay payment Ref000041 Amt32443 INR,travel
Zomato order payment Ref000042 Amt7285 INR,food
